Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Precipitation,Visibility,Cloud Cover,month,year,season,is_festival,is_extreme_heat,temp_anomaly
22.33,16.33,69.04,23.8,9.2,0,5.6,54.9,3,2014,3,0,0,-7.52
30.06,14,37.98,32.28,12.8,0,6.1,52.5,3,2014,3,0,0,0.21
28.61,15.83,48.87,31.89,8.1,0,5.9,67.9,3,2014,3,0,0,-1.24
30.06,13.94,37.67,31.28,10.3,0,5.6,84.4,3,2014,3,0,0,0.21
25.06,16.33,59.39,27.94,11.4,0,5.6,67.4,3,2014,3,0,0,-4.79
30.39,12.89,34.44,31.28,12.8,0,6.2,56.6,3,2014,3,0,0,0.54
29.5,12.22,35.72,33,17.2,0,6.2,53.4,3,2014,3,0,0,-0.35
29.67,6.72,24,32,12.8,0,6.2,50,3,2014,3,0,0,-0.18
31.83,7.89,22.65,32,16.1,0,6.2,50,3,2014,3,0,0,1.98
25.17,9.11,36.72,27.11,10.3,0,6.2,30,3,2014,3,0,0,-4.68
32.17,6.22,19.94,32.94,16.1,0,6.2,0,3,2014,3,0,0,2.32
31.06,6.61,23.29,32.61,15,0,6.2,33.3,3,2014,3,0,0,1.21
32.94,3.33,15.54,32.56,12.8,0,6.2,40,3,2014,3,0,0,3.09
29.11,8.06,27.14,30.22,12.8,0,6.2,10,3,2014,3,0,0,-0.74
34.33,7,18.51,33.78,15,0,6.2,10,3,2014,3,0,0,4.48
32.22,7.44,22.99,33.67,10.3,0,6.2,20,3,2014,3,1,0,2.37
31.94,5.17,19.83,34.11,10.3,0,6.2,35,3,2014,3,0,0,2.09
35.44,2.28,12.66,34.22,9.2,0,6.2,15,3,2014,3,0,0,5.59
27.06,4.28,24.09,29,8.1,0,6.2,60,3,2014,3,0,0,-2.79
34.39,2.89,13.94,33.39,11.4,0,6.2,53.3,3,2014,3,0,0,4.54
33.17,8.67,25.02,34.5,12.8,0,6.2,30,3,2014,3,0,0,3.32
35.44,3.06,13.25,34.39,8.1,0,6.2,10,3,2014,3,0,0,5.59
29.56,17.61,50.5,32.61,8.1,0,6.2,30,3,2014,3,0,0,-0.29
35.39,9.06,20.34,34.78,8.1,0,6.2,28.3,3,2014,3,0,0,5.54
32.33,16.17,39.92,35.11,9.2,0,6.2,50,3,2014,3,0,1,2.48
31.78,12.44,33.01,34.5,12.8,0,6.2,30,3,2014,3,0,0,1.93
35.06,11.39,24.07,35.33,10.3,0,6.2,42.5,3,2014,3,0,1,5.21
28.33,14.06,42.81,30.06,9.2,0,6.2,15,3,2014,3,0,0,-1.52
34.78,6.06,17.91,34.17,15,0,6.2,30,3,2014,3,0,0,4.93
32.83,10.5,27.62,35.56,11.4,0,6.2,30,3,2014,3,0,1,2.98
34.83,8.06,19.99,34.61,10.3,0,6.2,30,3,2014,3,0,0,4.98
30.67,8.06,27.02,31.61,15,0,6.2,35,3,2014,3,0,0,0.82
35.22,5.78,16.83,34.33,17.2,0,6.2,35,3,2014,3,0,0,5.37
32.44,5.89,20.83,34.33,13.9,0,6.2,15,3,2014,3,0,0,2.59
31.89,6.39,20.79,32.83,16.1,0,4.6,30,3,2014,3,0,0,2.04
34.39,5.28,16.48,33.56,16.1,0,6.2,55,3,2014,3,0,0,4.54
29.56,9.56,29.2,31.33,5.8,0,6.2,30,3,2014,3,0,0,-0.29
